rank,company,event_type,event_year,event_label,source_confidence,wayback_tier,screening_recommendation,pre_html_pages,post_html_pages,primary_domain,website,event_source_url,notes
1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,medium,B,prioritize,22,215,bluemoon.de,https://www.bluemoon.de/,user screening / Orbis export; source URL still to document,Sehr gute Webdeckung; Eventquelle noch sauber extern dokumentieren.
2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,medium,B,prioritize,169,128,peter-lacke.de,https://www.peter-lacke.de/,user screening / Orbis export; source URL still to document,Sehr gute Webdeckung; familienbezogene Validierung priorisieren.
3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,low,B,prioritize,27,120,anlagentechnik-leichtle.de,https://www.anlagentechnik-leichtle.de/,user screening / Orbis export; source URL still to document,"Nur als Backup, wenn die Eventvalidierung gelingt."
4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,high,A,prioritize,33,45,myrenne.com,https://myrenne.com/,user screening / Orbis export; source URL still to document,Wayback funktioniert ohne /de besser; guter Pilotcase.
5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,high,A,prioritize,56,189,msf-technik.de,https://www.msf-technik.de/,https://www.msf-technik.de/historie,Nicht als 2010-Event nutzen; für 2006 gute Pre/Post-Waybackdeckung.
6,FIELMANN GROUP AG,family_internal_succession,2019,Marc Fielmann übernimmt final von Gründer Günther Fielmann,high,A,prioritize,1000,1000,fielmann.de,https://www.fielmann-group.com/,https://www.realwire.com/releases/Generational-Succession-at-Fielmann-in-final-phase,"Sehr prominenter Generationswechsel; börsennotiert, aber family-controlled."
7,SIXT SE,family_internal_succession,2021,Alexander und Konstantin Sixt übernehmen gemeinsam von Erich Sixt,high,B,prioritize,1000,1000,sixt.com,https://www.sixt.com/,https://de.wikipedia.org/wiki/Sixt_SE,Sehr gut dokumentierter Wechsel; family-controlled listed company.
8,DM-DROGERIE MARKT GMBH + CO. KG,family_internal_succession,2019,"Christoph Werner, Sohn des Gründers, wird Vorsitzender der Geschäftsführung",medium,B,prioritize,1000,1000,dm.de,https://www.dm.de/,https://de.wikipedia.org/wiki/Christoph_Werner_(Unternehmer),Gute Webpräsenz; Familienbranding möglicherweise indirekt über Gründer-/Kulturkommunikation.
9,TRIGEMA W. GRUPP KG,family_internal_succession,2024,Wolfgang Grupp übergibt operative Leitung an Bonita und Wolfgang Grupp jr.,high,A,prioritize,1000,1000,trigema.de,https://www.trigema.de/,https://de.wikipedia.org/wiki/Trigema,Sehr sichtbarer Generationswechsel; Post-Window noch kurz.
10,B. BRAUN SE,family_internal_succession,2019,Anna Maria Braun übernimmt Vorstandsvorsitz in 6. Generation,medium,B,prioritize,1000,1000,bbraun.com,https://www.bbraun.com/,https://de.wikipedia.org/wiki/Anna_Maria_Braun_(Managerin),Großes Familienunternehmen; Website vermutlich sehr reichhaltig.
11,HARTING TECHNOLOGY GROUP,family_internal_succession,2015,Philip Harting übernimmt operative Führung / Vorsitz,medium,B,prioritize,1000,1000,harting.com,https://www.harting.com/,https://en.wikipedia.org/wiki/Harting_Group,Familienunternehmen mit starker B2B-Webpräsenz; Event noch durch Primärquelle erhärten.
