run_id,firm_id,rank,company,event_type,event_year,event_label,event_date_inferred,event_date_verified,event_date_final,event_date_precision,event_date_source,event_date_verification_status,source_confidence,wayback_tier,primary_domain,website,event_source_url,notes
508f1903-71e7-4aab-aba6-000fed4d8b7d,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,family_internal_succession,2024,Übernahme durch Sohn nach Tod der Mutter,,,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,unverified_proxy,medium,B,bluemoon.de,https://www.bluemoon.de/,user screening / Orbis export; source URL still to document,Sehr gute Webdeckung; Eventquelle noch sauber extern dokumentieren.
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,Übernahme durch Sohn in 5. Generation,,,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,unverified_proxy,medium,B,peter-lacke.de,https://www.peter-lacke.de/,user screening / Orbis export; source URL still to document,Sehr gute Webdeckung; familienbezogene Validierung priorisieren.
508f1903-71e7-4aab-aba6-000fed4d8b7d,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,,,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,unverified_proxy,low,B,anlagentechnik-leichtle.de,https://www.anlagentechnik-leichtle.de/,user screening / Orbis export; source URL still to document,"Nur als Backup, wenn die Eventvalidierung gelingt."
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,2012-04-15,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,verified,high,A,myrenne.com,https://myrenne.com/,user screening / Orbis export; source URL still to document,Wayback funktioniert ohne /de besser; guter Pilotcase.
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,,2006-01-01,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),verified,high,A,msf-technik.de,https://www.msf-technik.de/,https://www.msf-technik.de/historie,Nicht als 2010-Event nutzen; für 2006 gute Pre/Post-Waybackdeckung.
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,family_internal_succession,2019,Marc Fielmann übernimmt final von Gründer Günther Fielmann,,,2019-07-01,year,unverified_proxy: event_year=2019 mid-year,unverified_proxy,high,A,fielmann.de,https://www.fielmann-group.com/,https://www.realwire.com/releases/Generational-Succession-at-Fielmann-in-final-phase,"Sehr prominenter Generationswechsel; börsennotiert, aber family-controlled."
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,family_internal_succession,2021,Alexander und Konstantin Sixt übernehmen gemeinsam von Erich Sixt,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,high,B,sixt.com,https://www.sixt.com/,https://de.wikipedia.org/wiki/Sixt_SE,Sehr gut dokumentierter Wechsel; family-controlled listed company.
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,family_internal_succession,2019,"Christoph Werner, Sohn des Gründers, wird Vorsitzender der Geschäftsführung",,,2019-07-01,year,unverified_proxy: event_year=2019 mid-year,unverified_proxy,medium,B,dm.de,https://www.dm.de/,https://de.wikipedia.org/wiki/Christoph_Werner_(Unternehmer),Gute Webpräsenz; Familienbranding möglicherweise indirekt über Gründer-/Kulturkommunikation.
508f1903-71e7-4aab-aba6-000fed4d8b7d,9,9,TRIGEMA W. GRUPP KG,family_internal_succession,2024,Wolfgang Grupp übergibt operative Leitung an Bonita und Wolfgang Grupp jr.,,,2024-07-01,year,unverified_proxy: event_year=2024 mid-year,unverified_proxy,high,A,trigema.de,https://www.trigema.de/,https://de.wikipedia.org/wiki/Trigema,Sehr sichtbarer Generationswechsel; Post-Window noch kurz.
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,10,B. BRAUN SE,family_internal_succession,2019,Anna Maria Braun übernimmt Vorstandsvorsitz in 6. Generation,,,2019-07-01,year,unverified_proxy: event_year=2019 mid-year,unverified_proxy,medium,B,bbraun.com,https://www.bbraun.com/,https://de.wikipedia.org/wiki/Anna_Maria_Braun_(Managerin),Großes Familienunternehmen; Website vermutlich sehr reichhaltig.
