firm_id,company,event_cluster,event_year,period,seed_url,archive_evidence,priority,rescue_status,assessment
2,PETER-LACKE HOLDING GMBH,family_internal_succession,2015,all,"https://www.peter-lacke.com/","German corporate root captured in 2013-2015 and 2019-2020",1,strong,"Domain migration from peter-lacke.de; same .com seed provides usable pre- and post-event windows"
5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,pre,"http://www.msf-technik.de/frames/ueber-uns.shtml","German About page captured in 2003 with substantive company text",1,conditional_content_volume,"Legacy frame page was missed by root crawl; use direct archived page and discover adjacent frame URLs"
5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,post,"http://www.msf-technik.de/UEber-uns.9.0.html","German About page captured in May 2007 with substantive company text",1,conditional_content_volume,"Post-event TYPO3 page is usable; retain only if total branding text volume meets the agreed threshold"
10,B. BRAUN SE,family_internal_succession,2019,all,"https://www.bbraun.de/de.html","German corporate locale captured annually from 2016 through 2024",1,strong,"Clear German locale seed with pre- and post-event coverage"
11,HARTING TECHNOLOGY GROUP,family_internal_succession,2015,pre,"http://www.harting.de/","German root and corporate subpages captured in 2011-2012",1,strong,"Historical German site; direct company, family and history subpages should receive reserved crawl capacity"
11,HARTING TECHNOLOGY GROUP,family_internal_succession,2015,post,"https://www.harting.com/DE/de","German corporate locale and management pages captured from 2017-2018",1,strong,"Use historical uppercase locale path; flag site migration in metadata"
12,DIRK ROSSMANN GMBH,family_internal_succession,2021,pre,"https://www.rossmann.de/unternehmen/","German corporate section captured annually from 2017 through 2021",1,strong,"Direct pre-event corporate seed"
12,DIRK ROSSMANN GMBH,family_internal_succession,2021,post,"https://unternehmen.rossmann.de/","German corporate subdomain captured annually from 2021 through 2025",1,strong,"Corporate-content migration to subdomain; preserve alias in observation metadata"
14,CLAAS KGAA MBH,external_ceo_professionalization,2019,all,"http://www.claas-gruppe.com/","German corporate root captured annually 2015-2024",1,strong,"Historical German counterpart of claas-group.com"
14,CLAAS KGAA MBH,external_ceo_professionalization,2019,all,"http://www.claas.de/","German country root captured annually 2015-2024",2,strong,"Useful fallback; verify corporate branding-page comparability"
15,FABER-CASTELL AG,external_ceo_professionalization,2017,all,"https://www.faber-castell.de/","German root captured annually 2013-2022",1,strong,"Clear German pre- and post-event coverage"
16,HENKEL AG & CO. KGAA,external_ceo_professionalization,2020,all,"https://www.henkel.de/","German root captured annually 2016-2023",1,strong,"Clear German pre- and post-event coverage"
17,MERCK KGAA,external_ceo_professionalization,2021,all,"https://www.merckgroup.com/de","German locale captured annually 2017-2026 except 2022",1,strong,"Clear German pre- and post-event coverage"
18,SCHAEFFLER AG,external_ceo_professionalization,2014,all,"http://www.schaeffler.de/content.schaeffler.de/de/index.jsp","Historical German homepage captured annually 2010-2019",1,strong,"Historical path must be used"
19,HERAEUS GROUP,external_ceo_professionalization,2013,pre,"http://heraeus.com/de/home/default.aspx","German homepage captured in 2012; related German paths captured in 2010",1,strong,"Usable pre-event historical site"
19,HERAEUS GROUP,external_ceo_professionalization,2013,post,"https://www.heraeus.com/de/group/home/home.aspx","German corporate homepage captured annually 2015-2018",1,strong,"Usable post-event site; flag path and template migration"
20,BAHLSEN GMBH & CO. KG,family_withdrawal_or_external_management,2022,all,"https://www.thebahlsenfamily.com/de/","German family/corporate site captured annually from 2019 through 2025",1,strong,"The relevant corporate content was hosted outside the bahlsen.com root; use the historical family-site seed"
21,FREUDENBERG GROUP,external_ceo_professionalization,2012,pre,"http://www.freudenberg.de/","German root captured 2008-2011",1,conditional_time_distance,"Usable pre-event site"
21,FREUDENBERG GROUP,external_ceo_professionalization,2012,post,"https://www.freudenberg.com/de/","German locale captured in 2017",1,conditional_time_distance,"Post-event capture is relatively late; retain in sensitivity analysis"
21,FREUDENBERG GROUP,external_ceo_professionalization,2012,post,"http://www.freudenberg.de/","German root captured again in 2017",2,conditional_time_distance,"Fallback for cross-domain comparability check"
22,ANDREAS STIHL AG & CO. KG,external_ceo_professionalization,2022,pre,"https://www.stihl.de/","German root captured in 2018-2020",1,conditional_site_migration,"Use with historical corporate subpage discovery"
22,ANDREAS STIHL AG & CO. KG,external_ceo_professionalization,2022,pre,"https://www.stihl.de/unternehmen.aspx","German company page captured in 2019",2,conditional_site_migration,"Direct pre-event corporate-content seed"
22,ANDREAS STIHL AG & CO. KG,external_ceo_professionalization,2022,post,"https://corporate.stihl.de/de","German corporate root captured annually 2022-2025",1,conditional_site_migration,"Technically usable; site and domain redesign may confound the event comparison"
23,VAILLANT GROUP,external_ceo_professionalization,2018,pre,"http://www.vaillant-group.com/index.de_de.html","German homepage captured annually 2015-2018",1,strong,"Strong pre-event seed"
23,VAILLANT GROUP,external_ceo_professionalization,2018,post,"https://www.vaillant-group.com/de/","German locale captured annually 2019-2023",1,strong,"Strong post-event seed"
24,VIESSMANN CLIMATE SOLUTIONS / VIESSMANN GROUP,sale_to_corporate_or_investor,2023,all,"https://www.viessmann.family/","German family-group site captured annually from 2020 through 2025",1,conditional_entity_scope,"Technically strong rescue and fixes malformed info@viessmann.com seed; decide whether the unit of analysis is the family group or the divested Climate Solutions business"
24,VIESSMANN CLIMATE SOLUTIONS / VIESSMANN GROUP,sale_to_corporate_or_investor,2023,all,"https://www.viessmann.de/","German country site captured annually from 2019 through 2025",2,conditional_entity_scope,"Fallback if the divested operating business rather than the family group is the intended unit"
25,BIRKENSTOCK GROUP,sale_to_corporate_or_investor,2021,all,"https://www.birkenstock.com/de/","German locale captured annually from 2017 through 2025",1,strong,"Use German locale rather than the language-neutral consumer root"
25,BIRKENSTOCK GROUP,sale_to_corporate_or_investor,2021,all,"https://www.birkenstock.com/de/unternehmen/about-us-company/","German corporate page captured annually from 2020 through 2025",2,strong,"Direct corporate-content seed with pre- and post-event coverage"
27,DOUGLAS HOLDING / DOUGLAS GROUP,sale_to_corporate_or_investor,2012,all,"http://www.douglas-holding.de/","Historical German holding root captured annually from 2008 through 2014",1,strong,"Use the historical corporate domain instead of the retail douglas.de seed"
27,DOUGLAS HOLDING / DOUGLAS GROUP,sale_to_corporate_or_investor,2012,all,"http://www.douglas-holding.com/","Historical holding root captured annually from 2008 through 2015",2,strong,"Fallback and comparability check"
30,DR. AUGUST OETKER KG / OETKER-GRUPPE,family_governance_split,2021,pre,"https://www.oetker.com/de/unternehmen/unternehmen","German company section captured in 2019; adjacent German history and sustainability pages captured through 2021",1,conditional_entity_scope,"Usable pre-event content on the Dr. Oetker domain; compare only with the same continuing business lineage"
30,DR. AUGUST OETKER KG / OETKER-GRUPPE,family_governance_split,2021,post,"https://www.oetker.com/de/ueber-uns/wer-wir-sind","German company section captured from 2022 onward",1,conditional_entity_scope,"Technically usable post-event path; the group split requires an explicit same-entity rule"
